pickup_month,avg_tip
2001-01,0.0
2002-12,3.1525
2003-01,4.08
2008-12,7.451090909090908
2009-01,5.426756756756757
2017-12,4.1365
2018-01,5.636768386401099
2018-02,5.567312709900633
2018-03,5.753532801305071
2018-04,5.7572975778625795
2018-05,5.727623998785588
2018-06,5.572159021376391
2018-07,5.262408752697192
2018-08,5.5390742729510505
2018-09,5.658006658778848
2018-10,5.614369716524497
2018-11,5.713328721880584
2018-12,5.176069197702056
2019-01,7.275714285714286
2019-03,6.986
2019-11,0.0
2020-08,10.41
2021-09,0.0
2029-05,0.0
2032-02,0.0
2053-07,0.0
